Address,Team,Time,Type
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040016?gameHash=d9538f2bc0c37e0e,bDragons,19.378,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040016?gameHash=d9538f2bc0c37e0e,bDragons,32.199,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040016?gameHash=d9538f2bc0c37e0e,bDragons,25.688,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040017?gameHash=30f903bff8e6336a,bDragons,8.448,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040017?gameHash=30f903bff8e6336a,bDragons,35.471,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040024?gameHash=2e458128cf3104dc,bDragons,16.734,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040024?gameHash=2e458128cf3104dc,bDragons,22.924,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040034?gameHash=c7dc48aa3e0cf7d9,bDragons,31.932,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040041?gameHash=5f815b5bea274396,bDragons,17.403,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040041?gameHash=5f815b5bea274396,bDragons,11.202,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040061?gameHash=3d6baa0cc755c64b,bDragons,12.373,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040061?gameHash=3d6baa0cc755c64b,bDragons,32.672,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040061?gameHash=3d6baa0cc755c64b,bDragons,19.279,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040062?gameHash=69af528266947113,bDragons,49.635,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040062?gameHash=69af528266947113,bDragons,16.718,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040062?gameHash=69af528266947113,bDragons,37.054,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040062?gameHash=69af528266947113,bDragons,30.208,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040062?gameHash=69af528266947113,bDragons,43.505,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040062?gameHash=69af528266947113,bDragons,23.064,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040062?gameHash=69af528266947113,bDragons,10.504,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040068?gameHash=a5610f43cd3d602d,bDragons,29.497,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040068?gameHash=a5610f43cd3d602d,bDragons,7.089,DRAGON
